image,ground_truth,prediction,similarity,threshold,method,correct
30_0.jpg,msd,msd,0.7609,0.35,Avg Embeddings,True
312_0.jpg,msd,msd,0.3528,0.35,Avg Embeddings,True
314_0.jpg,msd,msd,0.7544,0.35,Avg Embeddings,True
320_0.jpg,msd,msd,0.6614,0.35,Avg Embeddings,True
324_0.jpg,msd,msd,0.5315,0.35,Avg Embeddings,True
327_0.jpg,msd,msd,0.4336,0.35,Avg Embeddings,True
329_0.jpg,msd,msd,0.6435,0.35,Avg Embeddings,True
332_1.jpg,msd,unknown,0.095,0.35,Avg Embeddings,False
333_0.jpg,msd,msd,0.6985,0.35,Avg Embeddings,True
338_0.jpg,msd,msd,0.7217,0.35,Avg Embeddings,True
338_2.jpg,msd,msd,0.7029,0.35,Avg Embeddings,True
338_5.jpg,msd,msd,0.5821,0.35,Avg Embeddings,True
33_0.jpg,msd,msd,0.6341,0.35,Avg Embeddings,True
45_0.jpg,msd,msd,0.8571,0.35,Avg Embeddings,True
46_0.jpg,msd,msd,0.622,0.35,Avg Embeddings,True
55_0.jpg,msd,msd,0.8039,0.35,Avg Embeddings,True
58_0.jpg,msd,msd,0.6329,0.35,Avg Embeddings,True
59_3.jpg,msd,msd,0.4713,0.35,Avg Embeddings,True
60_0.jpg,msd,msd,0.6134,0.35,Avg Embeddings,True
62_0.jpg,msd,msd,0.526,0.35,Avg Embeddings,True
64_0.jpg,msd,msd,0.7324,0.35,Avg Embeddings,True
69_0.jpg,msd,msd,0.6966,0.35,Avg Embeddings,True
70_1.jpg,msd,msd,0.721,0.35,Avg Embeddings,True
71_0.jpg,msd,msd,0.7644,0.35,Avg Embeddings,True
72_1.jpg,msd,msd,0.7138,0.35,Avg Embeddings,True
76_0.jpg,msd,msd,0.7238,0.35,Avg Embeddings,True
7_0.jpg,msd,msd,0.7523,0.35,Avg Embeddings,True
86_0.jpg,msd,msd,0.6646,0.35,Avg Embeddings,True
8_0.jpg,msd,msd,0.6433,0.35,Avg Embeddings,True
90_2.jpg,msd,msd,0.6498,0.35,Avg Embeddings,True
91_0.jpg,msd,msd,0.7468,0.35,Avg Embeddings,True
100_0.jpg,rohit,rohit,0.5641,0.35,Avg Embeddings,True
106_1.jpg,rohit,rohit,0.7173,0.35,Avg Embeddings,True
110_0.jpg,rohit,rohit,0.729,0.35,Avg Embeddings,True
11_1.jpg,rohit,rohit,0.7962,0.35,Avg Embeddings,True
120_0.jpg,rohit,rohit,0.6205,0.35,Avg Embeddings,True
135_0.jpg,rohit,rohit,0.6568,0.35,Avg Embeddings,True
143_0.jpg,rohit,rohit,0.5297,0.35,Avg Embeddings,True
144_0.jpg,rohit,rohit,0.4405,0.35,Avg Embeddings,True
14_0.jpg,rohit,rohit,0.7724,0.35,Avg Embeddings,True
154_0.jpg,rohit,rohit,0.5551,0.35,Avg Embeddings,True
155_0.jpg,rohit,rohit,0.7129,0.35,Avg Embeddings,True
159_0.jpg,rohit,rohit,0.6362,0.35,Avg Embeddings,True
162_0.jpg,rohit,rohit,0.5123,0.35,Avg Embeddings,True
176_0.jpg,rohit,rohit,0.6596,0.35,Avg Embeddings,True
17_0.jpg,rohit,rohit,0.5993,0.35,Avg Embeddings,True
1_0.jpg,rohit,rohit,0.5548,0.35,Avg Embeddings,True
21_0.jpg,rohit,rohit,0.6421,0.35,Avg Embeddings,True
23_0.jpg,rohit,rohit,0.7478,0.35,Avg Embeddings,True
26_0.jpg,rohit,rohit,0.7134,0.35,Avg Embeddings,True
3_0.jpg,rohit,rohit,0.6588,0.35,Avg Embeddings,True
45_0.jpg,rohit,rohit,0.5694,0.35,Avg Embeddings,True
51_0.jpg,rohit,rohit,0.7484,0.35,Avg Embeddings,True
54_0.jpg,rohit,rohit,0.6704,0.35,Avg Embeddings,True
61_0.jpg,rohit,rohit,0.6252,0.35,Avg Embeddings,True
63_0.jpg,rohit,rohit,0.525,0.35,Avg Embeddings,True
71_0.jpg,rohit,rohit,0.7086,0.35,Avg Embeddings,True
72_0.jpg,rohit,rohit,0.5885,0.35,Avg Embeddings,True
83_0.jpg,rohit,rohit,0.7001,0.35,Avg Embeddings,True
86_2.jpg,rohit,unknown,0.1047,0.35,Avg Embeddings,False
96_0.jpg,rohit,rohit,0.7885,0.35,Avg Embeddings,True
97_0.jpg,rohit,rohit,0.8111,0.35,Avg Embeddings,True
98_0.jpg,rohit,rohit,0.7859,0.35,Avg Embeddings,True
hardik0.jpeg,unknown,unknown,0.2286,0.35,Avg Embeddings,True
hardik1.jpeg,unknown,unknown,0.2072,0.35,Avg Embeddings,True
hardik2.jpeg,unknown,unknown,0.1695,0.35,Avg Embeddings,True
hardik3.jpeg,unknown,unknown,0.1588,0.35,Avg Embeddings,True
hardik4.jpeg,unknown,unknown,0.2202,0.35,Avg Embeddings,True
rishabh_pant.jpeg,unknown,unknown,0.2017,0.35,Avg Embeddings,True
siraj0.jpeg,unknown,unknown,0.2287,0.35,Avg Embeddings,True
siraj1.jpeg,unknown,unknown,0.1578,0.35,Avg Embeddings,True
siraj2.jpeg,unknown,No Face,0.0,0.35,Avg Embeddings,False
siraj3.jpeg,unknown,unknown,0.2158,0.35,Avg Embeddings,True
siraj4.jpeg,unknown,No Face,0.0,0.35,Avg Embeddings,False
