image,ground_truth,prediction,similarity,threshold,method,correct
66_0.jpg,kohli,kohli,0.8087,0.5,Individual Embeddings,True
69_0.jpg,kohli,kohli,0.8126,0.5,Individual Embeddings,True
6_1.jpg,kohli,kohli,0.7818,0.5,Individual Embeddings,True
71_0.jpg,kohli,kohli,0.6846,0.5,Individual Embeddings,True
79_0.jpg,kohli,kohli,0.7968,0.5,Individual Embeddings,True
7_0.jpg,kohli,kohli,0.686,0.5,Individual Embeddings,True
80_0.jpg,kohli,kohli,0.699,0.5,Individual Embeddings,True
83_0.jpg,kohli,kohli,0.7726,0.5,Individual Embeddings,True
89_0.jpg,kohli,kohli,0.5643,0.5,Individual Embeddings,True
9_0.jpg,kohli,kohli,0.8059,0.5,Individual Embeddings,True
103_0.jpg,msd,msd,0.7803,0.5,Individual Embeddings,True
110_0.jpg,msd,msd,0.829,0.5,Individual Embeddings,True
116_0.jpg,msd,msd,0.9655,0.5,Individual Embeddings,True
122_1.jpg,msd,msd,0.8906,0.5,Individual Embeddings,True
131_0.jpg,msd,msd,0.9206,0.5,Individual Embeddings,True
132_1.jpg,msd,msd,0.8673,0.5,Individual Embeddings,True
134_0.jpg,msd,msd,0.857,0.5,Individual Embeddings,True
136_0.jpg,msd,msd,0.6581,0.5,Individual Embeddings,True
138_0.jpg,msd,msd,0.7334,0.5,Individual Embeddings,True
13_0.jpg,msd,msd,0.8349,0.5,Individual Embeddings,True
142_0.jpg,msd,msd,0.7837,0.5,Individual Embeddings,True
144_1.jpg,msd,msd,0.7738,0.5,Individual Embeddings,True
148_0.jpg,msd,msd,0.8065,0.5,Individual Embeddings,True
150_0.jpg,msd,msd,0.9497,0.5,Individual Embeddings,True
150_1.jpg,msd,unknown,0.4603,0.5,Individual Embeddings,False
151_0.jpg,msd,msd,0.7728,0.5,Individual Embeddings,True
156_0.jpg,msd,msd,0.5715,0.5,Individual Embeddings,True
162_1.jpg,msd,msd,0.8145,0.5,Individual Embeddings,True
165_2.jpg,msd,No Face,0.0,0.5,Individual Embeddings,False
169_0.jpg,msd,msd,0.9018,0.5,Individual Embeddings,True
191_0.jpg,msd,unknown,0.4122,0.5,Individual Embeddings,False
198_0.jpg,msd,msd,0.6337,0.5,Individual Embeddings,True
199_1.jpg,msd,msd,0.7349,0.5,Individual Embeddings,True
20_1.jpg,msd,kohli,0.6304,0.5,Individual Embeddings,False
213_0.jpg,msd,No Face,0.0,0.5,Individual Embeddings,False
218_0.jpg,msd,msd,0.889,0.5,Individual Embeddings,True
220_1.jpg,msd,msd,0.6998,0.5,Individual Embeddings,True
224_0.jpg,msd,msd,0.7904,0.5,Individual Embeddings,True
227_0.jpg,msd,msd,0.734,0.5,Individual Embeddings,True
229_0.jpg,msd,msd,0.6207,0.5,Individual Embeddings,True
231_0.jpg,msd,msd,0.5599,0.5,Individual Embeddings,True
24_0.jpg,msd,msd,0.7805,0.5,Individual Embeddings,True
274_0.jpg,msd,msd,0.7765,0.5,Individual Embeddings,True
278_0.jpg,msd,msd,0.951,0.5,Individual Embeddings,True
285_0.jpg,msd,msd,0.726,0.5,Individual Embeddings,True
30_0.jpg,msd,msd,0.9889,0.5,Individual Embeddings,True
312_0.jpg,msd,unknown,0.4699,0.5,Individual Embeddings,False
314_0.jpg,msd,msd,0.7535,0.5,Individual Embeddings,True
320_0.jpg,msd,msd,0.749,0.5,Individual Embeddings,True
324_0.jpg,msd,msd,0.603,0.5,Individual Embeddings,True
327_0.jpg,msd,unknown,0.4808,0.5,Individual Embeddings,False
329_0.jpg,msd,msd,0.6939,0.5,Individual Embeddings,True
332_1.jpg,msd,unknown,0.2637,0.5,Individual Embeddings,False
333_0.jpg,msd,msd,0.8147,0.5,Individual Embeddings,True
338_0.jpg,msd,msd,0.818,0.5,Individual Embeddings,True
338_2.jpg,msd,msd,0.7453,0.5,Individual Embeddings,True
338_5.jpg,msd,msd,0.5525,0.5,Individual Embeddings,True
33_0.jpg,msd,msd,0.6426,0.5,Individual Embeddings,True
45_0.jpg,msd,msd,0.8352,0.5,Individual Embeddings,True
46_0.jpg,msd,msd,0.6249,0.5,Individual Embeddings,True
55_0.jpg,msd,msd,0.8185,0.5,Individual Embeddings,True
58_0.jpg,msd,msd,0.8795,0.5,Individual Embeddings,True
59_3.jpg,msd,msd,0.5254,0.5,Individual Embeddings,True
60_0.jpg,msd,msd,0.7206,0.5,Individual Embeddings,True
62_0.jpg,msd,msd,0.5983,0.5,Individual Embeddings,True
64_0.jpg,msd,msd,0.7194,0.5,Individual Embeddings,True
69_0.jpg,msd,msd,0.7103,0.5,Individual Embeddings,True
70_1.jpg,msd,msd,0.7292,0.5,Individual Embeddings,True
71_0.jpg,msd,msd,0.805,0.5,Individual Embeddings,True
72_1.jpg,msd,msd,0.8541,0.5,Individual Embeddings,True
76_0.jpg,msd,msd,0.9029,0.5,Individual Embeddings,True
7_0.jpg,msd,msd,0.7927,0.5,Individual Embeddings,True
86_0.jpg,msd,msd,0.6756,0.5,Individual Embeddings,True
8_0.jpg,msd,msd,0.6697,0.5,Individual Embeddings,True
90_2.jpg,msd,msd,0.6873,0.5,Individual Embeddings,True
91_0.jpg,msd,msd,0.9099,0.5,Individual Embeddings,True
100_0.jpg,rohit,rohit,0.6462,0.5,Individual Embeddings,True
106_1.jpg,rohit,rohit,0.6857,0.5,Individual Embeddings,True
110_0.jpg,rohit,rohit,0.8192,0.5,Individual Embeddings,True
11_1.jpg,rohit,rohit,0.7773,0.5,Individual Embeddings,True
120_0.jpg,rohit,rohit,0.627,0.5,Individual Embeddings,True
135_0.jpg,rohit,rohit,0.7271,0.5,Individual Embeddings,True
143_0.jpg,rohit,unknown,0.5,0.5,Individual Embeddings,False
144_0.jpg,rohit,rohit,0.6115,0.5,Individual Embeddings,True
14_0.jpg,rohit,rohit,0.7212,0.5,Individual Embeddings,True
154_0.jpg,rohit,rohit,0.6411,0.5,Individual Embeddings,True
155_0.jpg,rohit,rohit,0.7278,0.5,Individual Embeddings,True
159_0.jpg,rohit,rohit,0.6272,0.5,Individual Embeddings,True
162_0.jpg,rohit,rohit,0.6389,0.5,Individual Embeddings,True
176_0.jpg,rohit,rohit,0.6759,0.5,Individual Embeddings,True
17_0.jpg,rohit,rohit,0.6497,0.5,Individual Embeddings,True
1_0.jpg,rohit,rohit,0.6162,0.5,Individual Embeddings,True
21_0.jpg,rohit,rohit,0.6658,0.5,Individual Embeddings,True
23_0.jpg,rohit,rohit,0.6766,0.5,Individual Embeddings,True
26_0.jpg,rohit,rohit,0.7078,0.5,Individual Embeddings,True
3_0.jpg,rohit,rohit,0.7776,0.5,Individual Embeddings,True
45_0.jpg,rohit,rohit,0.6022,0.5,Individual Embeddings,True
51_0.jpg,rohit,rohit,0.723,0.5,Individual Embeddings,True
54_0.jpg,rohit,rohit,0.5887,0.5,Individual Embeddings,True
61_0.jpg,rohit,rohit,0.6185,0.5,Individual Embeddings,True
63_0.jpg,rohit,rohit,0.6791,0.5,Individual Embeddings,True
71_0.jpg,rohit,rohit,0.8099,0.5,Individual Embeddings,True
72_0.jpg,rohit,rohit,0.629,0.5,Individual Embeddings,True
83_0.jpg,rohit,rohit,0.7227,0.5,Individual Embeddings,True
86_2.jpg,rohit,unknown,0.2298,0.5,Individual Embeddings,False
96_0.jpg,rohit,rohit,0.7195,0.5,Individual Embeddings,True
97_0.jpg,rohit,rohit,0.9746,0.5,Individual Embeddings,True
98_0.jpg,rohit,rohit,0.7377,0.5,Individual Embeddings,True
hardik0.jpeg,unknown,unknown,0.3157,0.5,Individual Embeddings,True
hardik1.jpeg,unknown,unknown,0.2921,0.5,Individual Embeddings,True
hardik2.jpeg,unknown,unknown,0.2986,0.5,Individual Embeddings,True
hardik3.jpeg,unknown,unknown,0.2422,0.5,Individual Embeddings,True
hardik4.jpeg,unknown,unknown,0.2842,0.5,Individual Embeddings,True
rishabh_pant.jpeg,unknown,unknown,0.2267,0.5,Individual Embeddings,True
siraj0.jpeg,unknown,unknown,0.2923,0.5,Individual Embeddings,True
siraj1.jpeg,unknown,unknown,0.2675,0.5,Individual Embeddings,True
siraj2.jpeg,unknown,No Face,0.0,0.5,Individual Embeddings,False
siraj3.jpeg,unknown,unknown,0.2767,0.5,Individual Embeddings,True
siraj4.jpeg,unknown,No Face,0.0,0.5,Individual Embeddings,False
